id,en,fr,ja,de,desc
CHANGE,Change,Changer,変更,Ändern,Shown on a button to update information
CHANGE_EMAIL,Change Email,Modifier l'adresse email,メールアドレスを変更する,E-Mail ändern,Shown on profile accordion heading
CHANGE_PASSWORD,Change Password,Modifier le mot de passe,パスワードを変更する,Passwort ändern,Shown on profile accordion heading
CHANGE_USERNAME,Change Username,Modifier le nom d'utilisateur,ユーザー名を変更する,Benutzernamen ändern,Shown on profile accordion heading
CHANGING,Changing...,Modification...,変更中...,Wird geändert...,Shown on a pressed button to update information
LANG_SELECT,Language selection,Sélection de la langue,言語の選択,Sprachauswahl,Language selection menu
WELCOME,Welcome,Bienvenue,ようこそ,Willkommen,Generic welcome text
WELCOME_BACK_USER,"Welcome back, {username}!","Content de te revoir, {username} !",おかえりなさい、{username} さん！,"Willkommen zurück, {username}!",Shown after successful login
WELCOME_ACCOUNT_READY_USER,"Welcome, {username}! Your account is ready.","Bienvenue, {username} ! Ton compte est prêt.",ようこそ、{username} さん！アカウントの準備ができました。,"Willkommen, {username}! Dein Konto ist bereit.",Shown after successful registration
BACK_TO_HOME,Back to home,Retour à l'accueil,ホームに戻る,Zurück zur Startseite,Button label to return to the home page
USERNAME,Username,Nom d'utilisateur,ユーザー名,Benutzername,As it appears in form fields
NEW_USERNAME,New Username,Nouveau nom d'utilisateur,新しいユーザー名,Neuer Benutzername,As it appears in form fields
EMAIL,Email,Adresse e-mail,メールアドレス,E-Mail,As it appears in form fields
NEW_EMAIL,New Email,Nouvelle adresse e-mail,新しいメールアドレス,Neue E-Mail-Adresse,As it appears in form fields
PASSWORD,Password,Mot de passe,パスワード,Passwort,As it appears in form fields
NEW_PASSWORD,New Password,Nouveau mot de passe,新しいパスワード,Neues Passwort,As it appears in form fields
CURRENT_PASSWORD,Current Password,Mot de passe actuel,現在のパスワード,Aktuelles Passwort,As it appears in form fields
CONFIRM_USERNAME,Confirm Username,Confirmez le nom d'utilisateur,ユーザー名の確認,Benutzernamen bestätigen,As it appears in form fields
CONFIRM_EMAIL,Confirm Email,Confirmez l'adresse e-mail,メールアドレスの確認,E-Mail bestätigen,As it appears in form fields
CONFIRM_NEW_PASSWORD,Confirm New Password,Confirmez le nouveau mot de passe,新しいパスワードを確認する,Neues Passwort bestätigen,As it appears in form fields
CONFIRM_PASSWORD,Confirm Password,Confirmez le mot de passe,パスワードの確認,Passwort bestätigen,As it appears in form fields
CREATE_ROOM,Create room,Créer une salle,ルームを作成,Raum erstellen,The word room is for a virtual room
DELETE,Delete,Supprimer,削除,Löschen,Delete button text
DELETE_ACCOUNT,Delete Account,Supprimer le compte,アカウントを削除する,Konto löschen,Delete account action label
DELETING,Deleting...,Suppression...,削除中...,Wird gelöscht...,Delete button in progress state
EMAIL_TAKEN,Email already taken,Adresse e-mail déjà utilisée,メールアドレスは既に使用されています,E-Mail bereits vergeben,Shown when email is already taken
EMAIL_VALID,Enter a valid email address,Entrez une adresse e-mail valide,有効なメールアドレスを入力してください,Gib eine gültige E-Mail-Adresse ein,Shown when email is invalid
FRIEND_ROOM,Friends' rooms,Salles d'amis,フレンドのルーム,Räume von Freunden,The word room is for a virtual room
INVALID_CREDENTIALS,Wrong email or password,E-mail ou mot de passe incorrect,メールアドレスまたはパスワードが違います,Falsche E-Mail-Adresse oder falsches Passwort,Shown when login credentials are invalid
INVALID_EMAIL,Invalid email,Adresse e-mail invalide,メールアドレスが無効です,Ungültige E-Mail-Adresse,Shown when email fails validation
INVALID_PASSWORD,Invalid password,Mot de passe invalide,パスワードが無効です,Ungültiges Passwort,Shown when password fails validation
INVALID_USERNAME,Invalid username,Nom d'utilisateur invalide,ユーザー名が無効です,Ungültiger Benutzername,Shown when username fails validation
JOIN,Join,Rejoindre,参加,Beitreten,Used to join a room
JOIN_ROOM,Join room,Rejoindre une salle,ルームに参加,Raum beitreten,The word room is for a virtual room
LEADERBOARD,Leaderboard,Classement,ランキング,Rangliste,Page showing global rankings
LOGGING_IN,Logging in,Connexion en cours,ログイン中,Anmeldung läuft,Shows when a user presses Log in
LOGIN,Log in,Se connecter,ログイン,Anmelden,To log in
LOGOUT,Log out,Se déconnecter,ログアウト,Abmelden,To log out
MATCH_HISTORY,Match History,Historique,対戦履歴,Spielverlauf,Shown in the user profile
MISSING_FIELD,Missing field,Champ manquant,必須項目が不足しています,Feld fehlt,Shown when a required field is missing
MY_PROFILE,My profile,Mon profil,マイプロフィール,Mein Profil,Menu item to open profile page
PASSWORD_LOWERCASE,Include at least 1 lowercase letter,Incluez au moins 1 lettre minuscule,小文字を1つ以上含めてください,Mindestens 1 Kleinbuchstabe erforderlich,Shown when password has no lowercase
PASSWORD_MIN,Use at least 8 characters,Utilisez au moins 8 caractères,8文字以上にしてください,Mindestens 8 Zeichen verwenden,Shown when password is too short
PASSWORD_MISMATCH,Passwords do not match,Les mots de passe ne correspondent pas,パスワードが一致しません,Passwörter stimmen nicht überein,Shown when password confirmation does not match
PASSWORD_NUMBER,Include at least 1 number,Incluez au moins 1 chiffre,数字を1つ以上含めてください,Mindestens 1 Zahl erforderlich,Shown when password has no number
PASSWORD_SPECIAL,Include at least 1 special character,Incluez au moins 1 caractère spécial,特殊文字を1つ以上含めてください,Mindestens 1 Sonderzeichen erforderlich,Shown when password has no special character
PASSWORD_UPPERCASE,Include at least 1 uppercase letter,Incluez au moins 1 lettre majuscule,大文字を1つ以上含めてください,Mindestens 1 Großbuchstabe erforderlich,Shown when password has no uppercase
PLAY_GAME,Play,Jouer,プレイ,Spielen,Primary action to start
FRIENDS,Friends,Amis,フレンド,Freunde,Just the word friends
PRIVATE,Private,Privée,非公開,Privat,Refers to a private room
PROFILE_SETTINGS,Settings,Paramètres,設定,Einstellungen,Shown in the user profile
PROFILE_LOADING,Loading profile...,Chargement du profil...,プロフィールを読み込み中...,Profil wird geladen...,Shown while a profile is loading
PROFILE_LOAD_FAILED,Failed to load profile.,Échec du chargement du profil.,プロフィールの読み込みに失敗しました。,Profil konnte nicht geladen werden.,Shown when a profile cannot be loaded
PUBLIC,Public,Publique,公開,Öffentlich,Refers to a public room
PUBLIC_ROOM,Public rooms,Salles publiques,公開ルーム,Öffentliche Räume,The word room is for a virtual room
LOGIN_FAILED,Login failed,Connexion échouée,ログインに失敗しました,Anmeldung fehlgeschlagen,Shown when an unknown error occured while logging in
REGISTRATION_FAILED,Registration failed,Inscription échouée,登録に失敗しました,Registrierung fehlgeschlagen,Shown when an unknown error occured while registering
PASSWORD_UNCHANGED,Choose a different password,Choisissez un mot de passe différent,別のパスワードを選択してください,Wähle ein anderes Passwort,Shown when the new password matches the current password
REFRESH_TOKEN_EXPIRED,Refresh token expired,Le jeton de rafraîchissement a expiré,リフレッシュトークンの期限が切れています,Refresh-Token abgelaufen,Shown when refresh token is expired
REFRESH_TOKEN_MISSING,Refresh token missing,Jeton de rafraîchissement manquant,リフレッシュトークンがありません,Refresh-Token fehlt,Shown when refresh token is missing
REQUIRED_FIELD,Please fill this,Veuillez remplir ce champ,必須項目です,Bitte fülle dieses Feld aus,Shown when a required field is empty
SIGNING_UP,Signing up,Création en cours,登録中,Registrierung läuft,Shows when a user presses Sign up
SIGNUP,Sign up,Créer un compte,アカウント作成,Registrieren,To create an account
STATISTICS,Statistics,Statistiques,統計情報,Statistiken,Shown in the user profile
USERNAME_ADMIN,Who do you think you are?,Pour qui tu te prends ?,あなたは誰だと思ってるの？,"Wer glaubst du, wer du bist?",Shown when user tries to use forbidden reserved username
USERNAME_FORBIDDEN,Username contains forbidden characters,Le nom d'utilisateur contient des caractères interdits,ユーザー名に使用できない文字が含まれています,Benutzername enthält unzulässige Zeichen,Shown when username has forbidden characters
USERNAME_MAX,Username at most 20 characters,Le nom d'utilisateur ne doit pas dépasser 20 caractères,ユーザー名は20文字以内,Benutzername darf höchstens 20 Zeichen lang sein,Shown when username exceeds max length
USERNAME_MIN,Username at least 3 characters,Le nom d'utilisateur doit contenir au moins 3 caractères,ユーザー名は3文字以上で入力してください,Benutzername muss mindestens 3 Zeichen lang sein,Shown when username is too short
FRIEND_TITLE,Friends,Amis,フレンド,Freunde,Friends panel title
FRIEND_LISTS,List,Liste,一覧,Liste,Friends list tab
FRIEND_REQUESTS,Requests,Demandes,申請,Anfragen,Friend requests tab
FRIEND_EMPTY,You do not have any friends yet.,Vous n'avez pas encore d'amis.,まだフレンドがいません。,Du hast noch keine Freunde.,Shown when the friends list is empty
FRIEND_ERROR,Couldn't load your friends list.,Impossible de charger votre liste d'amis.,フレンド一覧を読み込めませんでした。,Deine Freundesliste konnte nicht geladen werden.,Shown when the friends list request fails
FRIENDS_ADD,Add,Ajouter,追加,Hinzufügen,Tab to search and add friends
USERS_NOTFOUND,No users found,Aucun utilisateur trouvé,ユーザーが見つかりません,Keine Benutzer gefunden,Shown when the friend search returns no users
